word_id,word_text,list_id,category_id
1,讀,3,1
2,教,3,1
3,室,3,1
4,班,3,1
5,聲,3,1
6,音,3,1
7,互,3,1
8,相,3,1
9,課,3,1
10,間,3,1
11,熱,3,1
12,情,3,1
13,讀書,3,2
14,陌生,3,2
15,教室,3,2
16,全班,3,2
17,友善,3,2
18,聲音,3,2
19,以後,3,2
20,互相,3,2
21,幫助,3,2
22,真誠,3,2
23,下課,3,2
24,包圍,3,2
25,作業,3,2
26,洗手間,3,2
27,清楚,3,2
28,友好,3,2
29,熱情,3,2
30,神,4,1
31,受,4,1
32,請,4,1
33,計,4,1
34,卡,4,1
35,寫,4,1
36,錯,4,1
37,怪,4,1
38,感,4,1
39,接,4,1
40,連,4,1
41,謝,4,1
42,背後,4,2
43,説話,4,2
44,神秘,4,2
45,難受,4,2
46,走廊,4,2
47,設計,4,2
48,生日卡,4,2
49,小心眼,4,2
50,錯怪,4,2
51,感動,4,2
52,接過,4,2
53,連聲,4,2
54,謝謝,4,2
55,食,5,1
56,昨,5,1
57,件,5,1
58,求,5,1
59,店,5,1
60,員,5,1
61,容,5,1
62,氣,5,1
63,結,5,1
64,忘,5,1
65,表,5,1
66,張,5,1
67,負責,5,2
68,主動,5,2
69,要求,5,2
70,東西,5,2
71,反反覆覆,5,2
72,汽水,5,2
73,勇氣,5,2
74,結結巴巴,5,2
75,終於,5,2
76,快步,5,2
77,慌忙,5,2
78,轉身,5,2
79,悄悄,5,2
80,剛才,5,2
81,表現,5,2
82,經歷,5,2
83,慌張,5,2
84,意,6,1
85,評,6,1
86,紙,6,1
87,弄,6,1
88,哭,6,1
89,另,6,1
90,及,6,1
91,別,6,1
92,隻,6,1
93,梯,6,1
94,滿,6,1
95,成,6,1
96,得意,6,2
97,端詳,6,2
98,評獎,6,2
99,時間,6,2
100,收拾,6,2
101,傷心,6,2
102,報紙,6,2
103,來不及,6,2
104,懶洋洋,6,2
105,滿意,6,2
106,想像,6,2
107,動腦筋,6,2
108,變成,6,2
109,珍珍搬了家，,3,3
110,轉到新的學校讀書。,3,3
111,走進陌生的教室，,3,3
112,全班同學三十雙眼睛,3,3
113,都向她看過來，,3,3
114,使她感到很不自然。,3,3
115,露珠,7,2
116,早晨,7,2
117,花園,7,2
118,閃閃發光,7,2
119,珍珠,7,2
120,晶亮,7,2
121,怎麽,7,2
122,綠油油,7,2
123,葉子,7,2
124,紅艷艷,7,2
125,花瓣,7,2
126,帆船,8,2
127,行駛,8,2
128,舞蹈,8,2
129,搖晃,8,2
130,風鈴,8,2
131,好聽,8,2
132,翻開,8,2
133,揮動,8,2
134,扇子,8,2
135,大地,9,2
136,多姿多彩,9,2
137,花草樹木,9,2
138,海洋,9,2
139,植物,9,2
140,千姿百態,9,2
141,獅子,9,2
142,大象,9,2
143,飛快,9,2
144,不過,9,2
145,搖晃,9,2
146,草原,9,2
147,黃金,9,2
148,笑臉,9,2
149,賀卡,10,2
150,森林,10,2
151,祝願,10,2
152,樹苗,10,2
153,茁壯成長,10,2
154,歡樂,10,2
155,藍天,10,2
156,呼喚,10,2
157,飛翔,10,2
158,白鴿,10,2
159,貝殼,10,2
160,風帆,10,2
161,秘密,10,2
162,探索,10,2
163,珍惜,10,2
164,創造,10,2
165,未來,10,2
166,蘑菇,11,2
167,出門,11,2
168,晃動,11,2
169,行走,11,2
170,大街,11,2
171,翠綠,11,2
172,漸漸,11,2
173,開始,11,2
174,晴朗,11,2
175,田野,12,2
176,尋找,12,2
177,害羞,12,2
178,姑娘,12,2
179,躲躲藏藏,12,2
180,眉毛,12,2
181,嫩芽,12,2
182,音符,12,2
183,解凍,12,2
184,琴聲,12,2
185,蕩秋千,12,2
186,風箏,12,2
187,枝頭,12,2
